Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
Parroquia San Ireneo,Instalaciones accesibles NO municipales,Calle Carlota O'Neill 26,89.7,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,588.31,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Parroquia Santa Eulalia de Mérida,Instalaciones accesibles NO municipales,Calle Pedroches 5,1636.73,227 - Concordia,Calle Arroyo del Olivar nº 6
Parroquia Santos Inocentes,Instalaciones accesibles NO municipales,Calle Embajadores 209,238.43,235 - Embajadores 191,Calle Sodio nº 1B
Parroquia Santísima Trinidad,Instalaciones accesibles NO municipales,Calle Martinez Villergas 8,397.84,231 - Derechos Humanos,Calle Derechos Humanos nº 12
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,966.64,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Real Basílica San Francisco el Grande,Instalaciones accesibles NO municipales,Calle San Buenaventura 1,42.71,37 - Plaza de San Francisco,Plaza de San Francisco nº 5
Residencia Mirasierra para personas con discapacidad intelectual gravemente afectadas y centro de día CAMP Mirasierra,Instalaciones accesibles NO municipales,Calle La Maso 40,2997.67,217 - Pedro Rico,Calle Pedro Rico nº 4
Residencia Universitaria Augustinus Nebrija,Instalaciones accesibles NO municipales,Calle Cea Bermudez 59,12.55,128 - Cea Bermúdez,Calle Cea Bermúdez nº 59
Residencia Universitaria Erasmo,Instalaciones accesibles NO municipales,Calle Erasmo De Rotterdam 5 Y 7,7544.01,217 - Pedro Rico,Calle Pedro Rico nº 4
Residencia de Estudiantes Ciudad Escolar. Comunidad de Madrid.,Instalaciones accesibles NO municipales,"Carretera Colmenar Viejo  Km. 12,800",4916.69,217 - Pedro Rico,Calle Pedro Rico nº 4
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,63.14,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64
Residencia para mayores Juan XXIII (Aravaca),Instalaciones accesibles NO municipales,Calle Procion 10,8114.0,261 - Facultad Derecho,Avenida Complutense nº 23
