Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 15 Delicias - Usera,Instalaciones accesibles NO municipales,Calle Amor Hermoso 52 Y 54,Bicipark Salamanca,Pl. del Marqués de Salamanca,5783.15
Instituto de Educación Secundaria (IES) Eijo y Garay,Instalaciones accesibles NO municipales,Calle Severino Aznar Embid 6,Bicipark Aviación,Parking Aviación Española,5783.96
Administración Guzmán el Bueno. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5786.85
Delegación Especial de Madrid. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5786.85
Oficina de Correos. Sucursal 60. Calle Arquitecto López Otero,Instalaciones accesibles NO municipales,Calle Arquitecto Lopez Otero 3,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5787.14
Oficina de Empleo Atocha,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 7,Bicipark Orense,"Avenida General Perón, 27",5790.63
Oficina de Empleo Águeda Díez,Instalaciones accesibles NO municipales,Plaza Agueda Diez 4,Bicipark Aviación,Parking Aviación Española,5790.69
Colegio Público Arquitecto Gaudí,Instalaciones accesibles NO municipales,Calle Rosa Jardon 10,Bicipark Montalban,"Calle de Montalbán, 5",5793.22
Instituto de Educación Secundaria (IES) Isaac Newton,Instalaciones accesibles NO municipales,Calle Joaquin Lorenzo 2,Bicipark Almagro,"Calle Almagro, 11",5806.7
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,Bicipark Recuerdo,"Calle Hiedra, 26",5806.89
Instituto de Educación Secundaria (IES) Ciudad Escolar,Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 12.800,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5810.32
Oficina de Correos. Sucursal 92. Eroski Avenida Pablo Neruda,Instalaciones accesibles NO municipales,Avenida Pablo Neruda 91,Bicipark Salamanca,Pl. del Marqués de Salamanca,5813.89
Intercambiador de transporte. Plaza Elíptica,Instalaciones accesibles NO municipales,Plaza Eliptica 3,Bicipark Almagro,"Calle Almagro, 11",5815.38
Intercambiador de transporte. Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 40,Bicipark Recoletos,"Paseo de Recoletos, 2",5817.17
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,Bicipark Recuerdo,"Calle Hiedra, 26",5818.51
