Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 4 Vallecas,Instalaciones accesibles NO municipales,Calle Picos De Europa 49,13517.74,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Intercambiador de transporte. Aeropuerto T4,Instalaciones accesibles NO municipales,Carretera M-110 250,13541.75,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Sede QuedaT.com Latina,Instalaciones accesibles NO municipales,Calle La Latina 25,13552.33,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Intercambiador de transporte. Aeropuerto T4,Instalaciones accesibles NO municipales,Carretera M-110 250,13556.14,Bicipark Montalban,"Calle de Montalbán, 5",15
Residencia para mayores Juan XXIII (Aravaca),Instalaciones accesibles NO municipales,Calle Procion 10,13560.79,Bicipark Recuerdo,"Calle Hiedra, 26",13
Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,13561.99,Bicipark Aviación,Parking Aviación Española,10
Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,13561.99,Bicipark Aviación,Parking Aviación Española,10
Administración Suroeste. AEAT,Instalaciones accesibles NO municipales,Calle Aguacate 27,13574.96,Bicipark Recuerdo,"Calle Hiedra, 26",13
Biblioteca del Tribunal de Cuentas,Instalaciones accesibles NO municipales,Calle Jose Ortega Y Gasset 100,13588.32,Bicipark Aviación,Parking Aviación Española,10
Oficina de Correos. Sucursal 09. Calle Mártires Concepcionistas,Instalaciones accesibles NO municipales,Calle Martires Concepcionistas 21,13592.09,Bicipark Aviación,Parking Aviación Española,10
Oficina de Correos. Sucursal 32. Plaza Rogelio Enríquez,Instalaciones accesibles NO municipales,Plaza Rogelio Enriquez 5,13606.84,Bicipark Almagro,"Calle Almagro, 11",12
Residencia Universitaria Erasmo,Instalaciones accesibles NO municipales,Calle Erasmo De Rotterdam 5 Y 7,13640.52,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Correos. Sucursal 92. Eroski Avenida Pablo Neruda,Instalaciones accesibles NO municipales,Avenida Pablo Neruda 91,13654.31,Bicipark Aviación,Parking Aviación Española,10
ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid),Instalaciones accesibles NO municipales,Camino Valderribas 115,13654.77,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Tanatorio Sur de Madrid,Instalaciones accesibles NO municipales,Calle Ildefonso Gonzalez Valencia 1,13662.84,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 57. Plaza Movimiento Ciudadano,Instalaciones accesibles NO municipales,Plaza Movimiento Ciudadano 1,13667.87,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,13677.24,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Centro de día y centro de rehabilitación Fundación Manantial para personas con trastorno mental grave de Barajas,Instalaciones accesibles NO municipales,Plaza Hermanos Falco Y Alvarez De Toledo 1,13679.43,Bicipark Almagro,"Calle Almagro, 11",12
Palacio Real de El Pardo,Instalaciones accesibles NO municipales,Calle Manuel Alonso 8,13682.71,Bicipark Almagro,"Calle Almagro, 11",12
Centro de Día Privado 'Muguet',Instalaciones accesibles NO municipales,Calle Muguet 7,13691.98,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Público Felipe II,Instalaciones accesibles NO municipales,Avenida Asturias 70,13697.65,Bicipark Aviación,Parking Aviación Española,10
